Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
10/03/2023,DA,Onga 2,IMA 28,Bad wrap,Servo Jam,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/03/2023,DA,Onga 3,IMA 45,Bad wrap,"Folding block, Faulty Mobile Arc",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Momoh,,
10/03/2023,DA,Onga 3,IMA 47,Bad wrap,"Cube crash, Electrical fault on the press",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Momoh,,
10/03/2023,NA,Onga 3,IMA 41,Bad wrap,Line 1&2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 3,IMA 43,Bad wrap,Folding block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 3,IMA 45,Bad wrap,Line 2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 3,IMA 47,***,Door sensor,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 4,IMA 63,Bad wrap,Reduced cube height,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 4,IMA 65,Bad wrap,"Faulty acceleration belt, exit block fault",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 1,IMA 3,Bad wrap,Exit Crash,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 1,IMA 18,Bad wrap,Folder fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 1,IMA 14,Cube crashing,Cube stopper,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 1,IMA 17,Savo Jam,Counter sealer pick,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 2,IMA 32,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 2,IMA 29,Bad wrap,Welder  fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 2,IMA 28,Exit crash,Exit block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 2,IMA 37,Cube crashing,Cube stopper,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/03/2023,NA,Onga 2,IMA 35,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,DA,Onga 1,IMA 05,Bad wrap,Faulty inferior welder,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/04/2023,DA,Onga 1,IMA 14,Bad wrap,Faulty Lateral welder,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/04/2023,DA,Onga 2,IMA 28,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/04/2023,DA,Onga 2,IMA 32,Bad wrap,Faulty lower folder,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/04/2023,DA,Onga 2,IMA 31,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/04/2023,DA,Onga 2,IMA 37,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/04/2023,DA,Onga 4,IMA 67,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/04/2023,DA,Onga 4,IMA 65,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Momoh,,
10/04/2023,DA,Onga 3,IMA 41,Bad wrap,Line 1&2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Momoh,,
10/04/2023,DA,Onga 3,IMA 45,Bad wrap,"Folding block, Exit bridge fault",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Momoh,,
10/04/2023,NA,Onga 3,IMA 41,Bad wrap,Line 1&2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 3,IMA 47,Bad wrap,"Belt, wheel and Folding",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 3,IMA 49,Bad wrap,Line 1 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 3,IMA 45,Bad wrap,Reel fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 3,IMA 43,Bad wrap,Line 1&2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 4,IMA 63,Bad wrap,"Poor lateral welder, line 1&2 portion",The operator worked on the machine,The operator worked on the machine,Jude,,
10/04/2023,NA,Onga 4,IMA 65,Bad wrap,"Line 1&2 portion, paper jam",The operator worked on the machine,The operator worked on the machine,Jude,,
10/04/2023,NA,Onga 4,IMA 69,Electrical fault,Safe PLC fault,The operator worked on the machine,The operator worked on the machine,Jude,,
10/04/2023,NA,Onga 1,IMA 18,Bad wrap,Counter Sealer,The operator worked on the machine,The operator worked on the machine,Jude,,
10/04/2023,NA,Onga 1,IMA 12,Bad wrap,Counter Sealer,The operator worked on the machine,The operator worked on the machine,Jude,,
10/04/2023,NA,Onga 1,IMA 05,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 1,IMA 17,Reel pull back ,blunt Blade,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 2,IMA 35,"Bad wrap, reel pull back","Knife fault, bed plate",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 2,IMA 29,Bad wrap,"Servo jam, reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/04/2023,NA,Onga 2,IMA 28,Exit crash,Exit air injector,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
11/04/2023,NA,Onga 1,IMA 02,Bad Wrap,Folding Block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
12/04/2023,NA,Onga 1,IMA 15,Reel pull back ,Blade fault,The operator worked on the machine,The operator worked on the machine,Jude,,
13/04/2023,NA,Onga 1,IMA 18,Bad wrap,Folding Block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/05/2023,DB,Onga 4,IMA 67,Bad wrap,"Wheel, Faulty Knife",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 4,IMA 81,Bad wrap,Faulty Knife,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 3,IMA 41,Bad wrap,Faulty. welder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 3,IMA 43,Bad wrap,Faulty timing belt,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 1,IMA 11,Bad wrap,Heater fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 1,IMA 3,Bad wrap,Folding block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 1,IMA 5,Bad wrap,Reel misalignment,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 1,IMA 18,Bad wrap,Counter sealer Knob,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 2,IMA 28,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 2,IMA 32,Bad wrap,Shaky Elevator arm,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,DB,Onga 2,IMA 37,Bad wrap,Folding block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/05/2023,NB,Onga 4,IMA 81,Bad wrap,Faulty Knife,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/05/2023,NB,Onga 3,IMA 41,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/05/2023,NB,Onga 3,IMA 47,Bad wrap,Knife fault / Counter pusher,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/05/2023,NB,Onga 3,IMA 49,Cube crash,Bridge fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/05/2023,NB,Onga 2,IMA 37,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/05/2023,NB,Onga 2,IMA 28,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/05/2023,NB,Onga 1,IMA 5,Bad wrap,Reel misalignment,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/05/2023,NB,Onga 2,IMA 11,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/05/2023,NB,Onga 3,IMA 12,Bad wrap,"Pullback, lower elevator",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,DB,Onga 4,IMA 81,Bad wrap,Broken cube,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,DB,Onga 2,IMA 32,Bad wrap,Poor reel allignment,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,DB,Onga 2,IMA 35,Bad wrap,Gripper fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,DB,Onga 2,IMA 28,Bad wrap,Elevator fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,DB,Onga 2,IMA 41,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,DB,Onga 1,IMA 11,Bad wrap,Heater fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,DB,Onga 1,IMA 8,Bad wrap,Reel misalignment,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,DB,Onga 1,PRESS 13,Bad wrap/ Bucket Leaking,Broken cube,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,DB,Onga 1,IMA 3,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,DB,Onga 1,IMA 18,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/06/2023,NB,Onga 4,IMA 41,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 4,IMA 43,Bad wrap,Broken cube,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 4,IMA 45,Bad wrap,Accelerator belt,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 1,IMA 11,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 1,IMA 14,Bad wrap,"Knife fault,reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 1,IMA 15,Bad wrap,"Knife fault,reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 1,IMA 17,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 1,ILAPAK 22,Poor Horizontal & Vertical Sealing,Poor crownpack reel machinability,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 1,IMA 8,Bad wrap,"Knife fault,reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 2,IMA 28,Bad wrap,Jamming,The operator/engineer worked on the machine but still under close monitoring,The operator/engineer worked on the machine but still under close monitoring,Uwem,,
10/06/2023,NB,Onga 2,IMA 29,Bad wrap,"Knife fault,reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 2,IMA 35,Bad wrap,Elevator fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/06/2023,NB,Onga 2,ILAPAK 25,Poor Horizontal & Vertical Sealing,Reel misalingment,The operator worked on the machine,The operator worked on the machine,Uwem,,
10/06/2023,NB,Onga 2,ILAPAK 26,Poor Horizontal & Vertical Sealing,Reel misalingment,The operator worked on the machine,The operator worked on the machine,Uwem,,
10/07/2023,DB,Onga 2,IMA 32,Bad wrap,Elevator/Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 2,IMA 29,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 2,ILA 25,Poor Pouch sealing,Poor crownpack reel machinability,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 2,ILA 26,Poor Pouch sealing,Poor crownpack reel machinability,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 4,IMA 81,Bad wrap,Luncher rubber fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 1,IMA 3,Bad wrap,Folding block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 1,IMA 14,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 1,IMA 8,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 1,IMA 18,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,DB,Onga 1,ILA 22,Poor Pouch sealing,Poor crownpack reel machinability,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/07/2023,NB,Onga 2,ILA 25,Poor Pouch sealing,Poor crownpack reel machinability,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 2,IMA 29,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 2,IMA 28,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 2,IMA 32,Bad wrap,"Knife fault,reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 1,IMA 8,Bad wrap,"Lower folder, reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 1,IMA 15,Bad wrap,"Knife fault,reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 1,IMA 17,Bad wrap,"Knife fault,reel misalignment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 1,ILA 22,Poor Horizontal & Vertical Sealing,Poor crownpack reel machinability,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 1,ILA 22,Poor Horizontal & Vertical Sealing,Poor crownpack reel machinability,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 3,IMA 43,Bad wraps ,Line 1 portion,The engineer worked on the machine,The engineer worked on the machine,Uwem,,
10/07/2023,NB,Onga 3,IMA 45,Bad wraps ,Reel misalignment,The engineer worked on the machine,The engineer worked on the machine,Uwem,,
10/08/2023,DA,Onga 1,IMA 03,Bad wraps ,Reel misalignment,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 1,IMA 08,Bad wraps ,Reel misalignment,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 1,IMA 15,Bad wraps ,Drop in inferior welder temperature,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 1,IMA 03,Bad wraps ,Faulty knife,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 2,Press 27,Bad wrap,Faulty Stirrer Chain,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 2,IMA 32,Bad wrap,Faulty lower folder,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 2,IMA 29,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 2,IMA 29,Bad wrap,Exit Crash,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 4,IMA 83,Bad wrap,High Welder temperature,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 3,IMA 45,Bad wrap,"Knife fault, Folding block",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/08/2023,NA,Onga 3,IMA 49,Bad wrap,Welder unit & folding block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 3,IMA 47,Bad wrap,Line 1&2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 3,IMA 51,Bad wrap,"Timing belt, counter disc",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 3,IMA 45,Bad wrap,Line 1 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 4,IMA 65,Bad wrap,"Poor lateral welder, derivation alarm on line 1&2, paper jam on line 2",The operator worked on the machine,The operator worked on the machine,Jude,,
10/08/2023,NA,Onga 4,IMA 83,Bad wrap,Line 1&2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 1,IMA 2,Bad Wrap,knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 1,IMA 3,Bad Wrap,Lower folder,The operator worked on the machine,The operator worked on the machine,Jude,,
10/08/2023,NA,Onga 1,IMA 3,Reel Pull Back,Slitting unit,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 1,IMA 12,Reel Pull Back,EXIT Crashing,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 1,IMA 17,Bad wrap,Gripper Fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 1,IMA 18,Bad Wrap,Slitting plate,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 1,IMA 15,Reel pull back,blade ,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 2,IMA 29,Bad wrap,Faulty knife,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 2,IMA 38,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 2,IMA 31,Bad wrap,Servo jam,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 2,IMA 34,Bad wrap,Welder temperature fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/08/2023,NA,Onga 2,IMA 32,Reel pull back,Gripper fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,DA,Onga 1,IMA 15,Bad wraps ,Faulty knife,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/09/2023,DA,Onga 1,IMA 06,Bad wraps ,Faulty knife,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/09/2023,DA,Onga 1,IMA 12,Bad wraps ,Faulty lateral welder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/09/2023,DA,Onga 1,IMA 18,Bad wraps ,Faulty counter Elevator,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/08/2023,DA,Onga 2,IMA 28,Bad wrap,Faulty Servo Jam,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 2,IMA 32,Bad wrap,Faulty lower folder,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/08/2023,DA,Onga 2,IMA 29,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/09/2023,DA,Onga 1,IMA 14,Bad wraps ,Faulty lateral welder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/09/2023,NA,Onga 1,IMA 2,Bad wraps,Machine Jaming,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 1,IMA 3,Reel pull back,spring fixed,The operator worked on the machine,The operator worked on the machine,Jude,,
10/09/2023,NA,Onga 1,IMA 6,Bad Wrap ,Elevator,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 1,IMA 11,Bad Wrap,Reel Pull back,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 1,IMA 18,Bad Wrap,Folder ,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 3,IMA 43,Bad Wrap,Line 1 anomally,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 3,IMA 45,Bad Wrap,"Wheel, exit belt faulty",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 3,IMA 47,Bad Wrap,Line 1 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 3,IMA 49,Bad Wrap,Line 1&2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 3,IMA 51,Bad Wrap,Misalignment of exit belt,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 4,IMA 63,Bad Wrap,Timing belt fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 4,IMA 67,Bad Wrap,Line portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 4,IMA 69,Bad Wrap,Wheel misalignment fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 4,IMA 81,Bad Wrap,Gap tooth fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 2,IMA 35,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 2,IMA 34,Bad wrap,Welder fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 2,IMA 29,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 2,IMA 31,Bad wrap,Reel misalignment,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 2,IMA 32,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 2,IMA 37,Cube jamming,Servo jam,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2023,NA,Onga 2,ILA 25,Poor vertical sealing on pouches,Poor reel machinability,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/09/2033,NA,Onga 1,IMA 9,starwheel fault,Starwheel ,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/10/2023,DA,Onga 1,IMA 12,Bad wraps ,Faulty lateral welder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/10/2023,DA,Onga 1,IMA 14,Bad wraps ,Faulty lateral welder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/10/2023,DA,Onga 1,IMA 06,Bad wraps ,Faulty knife,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/10/2023,DA,Onga 1,IMA 02,Bad wraps ,Yet to be determined,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/10/2023,DA,Onga 1,IMA 11,Bad wraps ,Faulty knife,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Sesan,,
10/10/2023,DA,Onga 2,IMA 34,Bad wrap,Faulty Gripper,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/10/2023,DA,Onga 2,IMA 29,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/10/2023,DA,Onga 2,IMA 28,Bad wrap,Servo jam,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/10/2023,DA,Onga 1,ILA 22,No code on Pouches,Faulty print head,The operator worked on the machine,The operator worked on the machine,Sesan,,
10/10/2023,NA,Onga 1,IMA 2,Bad Wrap,Counter elevator,The operator worked on the machine,The operator worked on the machine,Jude,,
10/10/2023,NA,Onga 1,IMA 2,Bad Wrap,Servo pusher,The operator worked on the machine,The operator worked on the machine,Jude,,
10/10/2023,NA,Onga 1,IMA 3 ,Reel pull back ,Slitting unit,The operator worked on the machine,The operator worked on the machine,Jude,,
10/10/2023,NA,Onga 1,IMA 12,Bad Wrap,Folder ,The operator worked on the machine,The operator worked on the machine,Jude,,
10/10/2023,NA,Onga 1,IMA 14,Bad wrap,Counter Elevator,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/10/2023,NA,Onga 1,IMA 17,Reel pull Back,Blunt blade,The operator worked on the machine,The operator worked on the machine,Jude,,
10/10/2023,NA,Onga 1,IMA 18,Bad wrap,Folder,The operator worked on the machine,The operator worked on the machine,Jude,,
10/10/2023,NA,Onga 2,IMA 32,Bad wrap,"Star wheel, knife fault",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/10/2023,NA,Onga 2,IMA 31,Bad wrap,"Star wheel, servo jam",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/10/2023,NA,Onga 2,IMA 35,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/10/2023,NA,Onga 2,IMA 28,Exit crash,Exit air injector,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/10/2023,NA,Onga 3,IMA 43,Bad wrap,Folding block fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/10/2023,NA,Onga 3,IMA 45,Bad wrap,Cube bridge  fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
10/11/2023,DB,Onga 4,IMA 65,Bad wrap,"Counter pusher, folding ark",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/11/2023,DB,Onga 4,IMA 69,Bad wrap,"Luncher rubber fault, Line portion, counter pusher",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/11/2023,DB,Onga 1,IMA 11,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/11/2023,DB,Onga 1,IMA 2,Faulty machine,Servo pusher,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/11/2023,DB,Onga 1,IMA 14,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
